#date	Guanyu Wang	Kathryn Mazaitis	Malcolm Greaves	William Y Wang
2013-06-03	0	0	0	0
2013-06-10	0	0	0	12
2013-06-21	12	0	0	0
2013-07-30	0	0	0	0
