#date	Guanyu Wang	Kathryn Mazaitis	Malcolm Greaves	William Y Wang
2013-06-03	0	0	0	0
2013-06-10	0	0	0	1
2013-06-18	0	0	5	0
2013-06-20	0	0	1	0
2013-07-30	0	0	0	0
