#date	Guanyu Wang	Kathryn Mazaitis	Malcolm Greaves	William Y Wang
2013-06-03	0	0	0	0
2013-06-10	0	0	0	88
2013-06-14	0	0	0	2
2013-06-20	0	0	176	0
2013-06-21	88	0	0	0
2013-07-30	0	0	0	0
